Contrast name:,Group (H)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.424266,0.383149,3.717262,11.000000,0.001699,0.002352
2,1399,139,1.000000,1.516368,0.298544,5.079218,11.000000,0.000178,0.000640
3,4863,486,1.000000,0.986910,0.246966,3.996142,11.000000,0.001050,0.001575
4,5104,510,1.000000,1.252856,0.289585,4.326386,11.000000,0.000601,0.001082
5,888,88,1.000000,0.940985,0.275944,3.410060,11.000000,0.002912,0.003552
6,1015,101,1.000000,1.317959,0.285722,4.612731,11.000000,0.000375,0.000950
7,3526,352,1.000000,1.404619,0.314353,4.468292,11.000000,0.000475,0.000950
8,3381,338,1.000000,0.904091,0.265847,3.400798,11.000000,0.002960,0.003552
9,1858,185,1.000000,0.692360,0.153498,4.510540,11.000000,0.000443,0.000950
10,1770,177,1.000000,0.684041,0.213982,3.196717,11.000000,0.004252,0.004784
11,2147,214,1.000000,0.846257,0.160626,5.268485,11.000000,0.000132,0.000596
12,2371,237,1.000000,0.696736,0.141440,4.926020,11.000000,0.000226,0.000679
13,2447,244,1.000000,1.628627,0.248440,6.555413,11.000000,0.000021,0.000369
14,1345,134,1.000000,1.014664,0.241086,4.208732,11.000000,0.000732,0.001198
15,2065,206,1.000000,2.915015,0.525962,5.542252,11.000000,0.000087,0.000524
16,2222,222,1.000000,2.742138,0.452521,6.059696,11.000000,0.000041,0.000369
17,1615,161,1.000000,0.647447,0.275180,2.352813,11.000000,0.019148,0.019148
18,1958,195,1.000000,0.762893,0.248778,3.066561,11.000000,0.005363,0.005678
