subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_04,2,43,1,joke,"I asked him if he started out as an editor, and he said that years ago he used to be a ",boy,journalist,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",2,0.7031290531158447,6.003033876419067
KAN_RHnonlit_04,2,34,1,nonjoke,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough",room,change,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",1,0.5357100963592529,14.004983901977539
KAN_RHnonlit_04,2,25,1,joke,The only thing money can't buy is,poverty,generosity,The only thing money can't buy is poverty.,2,0.3849489688873291,26.007910013198853
KAN_RHnonlit_04,2,96,1,nonjoke,"When the kid came into the store and asked for empty boxes, the owner gave him the",register,crate,"When the kid came into the store and asked for empty boxes, the owner gave him the crate.",1,0.43516993522644043,38.01082897186279
KAN_RHnonlit_04,2,134,1,nonjoke,My church welcomes all denominations but prefers,twenties,Mormons,My church welcomes all denominations but prefers Mormons.,1,0.3682999610900879,46.012706995010376
KAN_RHnonlit_04,2,125,1,joke,I know one couple who got divorced and had to leave the house to the,attorney,daughter,I know one couple who got divorced and had to leave the house to the attorney.,3,1.2554309368133545,56.006773948669434
KAN_RHnonlit_04,2,40,1,nonjoke,No patient should leave the hospital until he's strong enough to face the,cashier,outside,No patient should leave the hospital until he's strong enough to face the outside.,1,0.40170788764953613,68.0096640586853
KAN_RHnonlit_04,2,32,1,nonjoke,"Though most people think it's Rome, the world's most beloved capital is actually",dollars,Vienna,"Though most people think it's Rome, the world's most beloved capital is actually Vienna.",1,0.43520212173461914,76.01154088973999
KAN_RHnonlit_04,2,74,1,nonjoke,He's planning an extended vacation; he hopes to spend three weeks on his,couch,sailboat,He's planning an extended vacation; he hopes to spend three weeks on his sailboat.,1,0.43525195121765137,84.01343107223511
KAN_RHnonlit_04,2,51,1,joke,I went to a place that serves breakfast any time and ordered French toast in the,Renaissance,nighttime,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,2,0.3179769515991211,94.00756502151489
KAN_RHnonlit_04,2,95,1,joke,He was teaching his girlfriend how to swim when the lifeguard made them move to the ,lake,shallows,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,1,1.1216709613800049,102.00940895080566
KAN_RHnonlit_04,2,98,1,nonjoke,"Nature has three ways of thinning the herd: drought, famine, and ",primaries,hunting,"Nature has three ways of thinning the herd: drought, famine, and hunting.",2,0.46874499320983887,112.0034990310669
KAN_RHnonlit_04,2,87,1,joke,"It's always nicer to give than to receive, especially when its your",opinion,parents,"It's always nicer to give than to receive, especially when its your opinion.",2,1.0211710929870605,120.00541591644287
KAN_RHnonlit_04,2,151,1,joke,One good turn gets most of the,blanket,profit,One good turn gets most of the blanket.,2,0.3849639892578125,128.00736904144287
