subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset,para conditions
KAN_RHnonlit_01,2,137,1,joke,A man who has lost ninety percent of his brain is called a,widower,zombie,A man who has lost ninety percent of his brain is called a widower.,1,1.066556931,6.009842157,2
KAN_RHnonlit_01,2,84,1,nonjoke,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and ",lawyers,crack,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and crack.",1,0.533326864,14.0089941,2
KAN_RHnonlit_01,2,110,1,nonjoke,It's not hard to meet expenses; they're ,everywhere,affordable,It's not hard to meet expenses; they're affordable.,1,1.08327508,26.00785208,2
KAN_RHnonlit_01,2,75,1,joke,"When reviewing your notes for a test, the most important ones will be",illegible,capitalized,"When reviewing your notes for a test, the most important ones will be illegible.",2,0.466641903,38.00669312,3
KAN_RHnonlit_01,2,153,1,joke,The husband who catches his wife in the act is probably on the,trapeze,snoop,The husband who catches his wife in the act is probably on the trapeze.,3,0.366652966,46.00582004,4
KAN_RHnonlit_01,2,148,1,nonjoke,The best bargain I ever got was when I went to a family garage sale and bought a ,grandma,toaster,The best bargain I ever got was when I went to a family garage sale and bought a toaster.,1,0.516703844,56.00486016,2
KAN_RHnonlit_01,2,30,1,nonjoke,Nothing you put in a banana split is as potentially fattening as the,spoon,syrup,Nothing you put in a banana split is as potentially fattening as the syrup.,1,0.566697836,68.00367618,2
KAN_RHnonlit_01,2,140,1,nonjoke,You can keep your kids in hot water with ,dishes,rules,You can keep your kids in hot water with rules.,2,0.616637945,76.002882,3
KAN_RHnonlit_01,2,91,1,joke,"If there's one thing that counts in business, its",bookkeepers,resources,"If there's one thing that counts in business, its bookkeepers.",3,0.466588974,84.00215816,4
KAN_RHnonlit_01,2,87,1,joke,"It's always nicer to give than to receive, especially when its your",opinion,parents,"It's always nicer to give than to receive, especially when its your opinion.",2,0.33333087,94.00111413,3
KAN_RHnonlit_01,2,53,1,joke,"By the time Mary had her fourteenth child, she'd run out of names to call her ",husband,offspring,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",3,0.533316135,102.000319,4
KAN_RHnonlit_01,2,107,1,joke,The difference between a good speaker and a bad one is often a nice,nap,diction,The difference between a good speaker and a bad one is often a nice nap.,2,0.383290052,112.016026,3
KAN_RHnonlit_01,2,132,1,nonjoke,The last time a guy in a mask took all my money I was in,surgery,shock,The last time a guy in a mask took all my money I was in shock.,1,1.116546869,120.0152462,2
KAN_RHnonlit_01,2,24,1,nonjoke,"Where I'm from, the two most common elements are hydrogen and ",stupidity,nitrogen,"Where I'm from, the two most common elements are hydrogen and nitrogen.",2,0.733173132,128.014437,3
KAN_RHnonlit_01,2,10,1,nonjoke,Nothing in the known universe travels faster than,gossip,radiation,Nothing in the known universe travels faster than radiation.,1,0.300076962,136.0135651,2
KAN_RHnonlit_01,2,79,1,joke,She puts something behind her ears to attract men; lately she's been using her,ankles,vanilla,She puts something behind her ears to attract men; lately she's been using her ankles.,3,0.433324099,144.0127931,4
KAN_RHnonlit_01,2,124,1,nonjoke,"I've got Parkinson's disease, and he's got", mine,gout,"I've got Parkinson's disease, and he's got gout.",1,0.433334112,154.011802,2
KAN_RHnonlit_01,2,144,1,nonjoke,The difference between a dog and fox is about five,beers,degrees,The difference between a dog and fox is about five degrees.,1,0.799873114,168.0105,2
KAN_RHnonlit_01,2,143,1,joke,Most of the people running for office are not politicians; they're,commuters,candidates,Most of the people running for office are not politicians; they're commuters.,3,1.099926949,176.0096321,4
KAN_RHnonlit_01,2,109,1,joke,Many a freshman helps the college of his choice by becoming a ,dropout,member,Many a freshman helps the college of his choice by becoming a dropout.,2,1.383139849,184.0088911,3
KAN_RHnonlit_01,2,80,1,nonjoke,He says he doesn't like to drink because it makes him feel,happy,sad,He says he doesn't like to drink because it makes him feel sad.,1,0.333307981,192.0081022,2
