subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset,para conditions
KAN_RHnonlit_11,1,66,2,joke,One good way to invest in the country is to buy a ,senator,business,One good way to invest in the country is to buy a senator.,3,1.891712904,6.001190186,4
KAN_RHnonlit_11,1,69,2,nonjoke,"When an irresistible force meets an immovable object, you get two very angry",women,entities,"When an irresistible force meets an immovable object, you get two very angry entities.",2,0.301377058,14.00314713,3
KAN_RHnonlit_11,1,74,2,joke,He's planning an extended vacation; he hopes to spend three weeks on his,couch,sailboat,He's planning an extended vacation; he hopes to spend three weeks on his couch.,2,0.435229063,26.00608301,3
KAN_RHnonlit_11,1,20,2,joke,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a",balloon,truck,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",3,0.920783997,38.00888014,4
KAN_RHnonlit_11,1,7,2,nonjoke,A replacement player hit a home run with my,girl,ball,A replacement player hit a home run with my ball.,2,1.07139492,46.01083612,3
KAN_RHnonlit_11,1,128,2,joke,"Figures don't lie, except on the",beaches,page,"Figures don't lie, except on the beaches.",1,0.351611853,56.0048852,2
KAN_RHnonlit_11,1,110,2,joke,It's not hard to meet expenses; they're ,everywhere,affordable,It's not hard to meet expenses; they're everywhere.,2,0.418458939,68.0078361,3
KAN_RHnonlit_11,1,150,2,joke,One way to keep pornography away from teenagers is to put it in a,textbook,cabinet,One way to keep pornography away from teenagers is to put it in a textbook.,3,0.552382946,76.0097692,4
KAN_RHnonlit_11,1,75,2,nonjoke,"When reviewing your notes for a test, the most important ones will be",illegible,capitalized,"When reviewing your notes for a test, the most important ones will be capitalized.",,,84.0116241,1
KAN_RHnonlit_11,1,83,2,nonjoke,Nothing ages a woman faster than,identification,hardship,Nothing ages a woman faster than hardship.,1,0.20092082,94.00563622,2
KAN_RHnonlit_11,1,10,2,joke,Nothing in the known universe travels faster than,gossip,radiation,Nothing in the known universe travels faster than gossip.,2,0.301353931,102.0075612,3
KAN_RHnonlit_11,1,85,2,nonjoke,"Frequent naps prevent old age, especially when taken while",driving,relaxed,"Frequent naps prevent old age, especially when taken while relaxed.",1,0.753395081,112.0016291,2
KAN_RHnonlit_11,1,51,2,nonjoke,I went to a place that serves breakfast any time and ordered French toast in the,Renaissance,nighttime,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,1,1.138343096,120.0036061,2
KAN_RHnonlit_11,1,2,2,joke,"She went on a fourteen day diet, but she only lost two",weeks,ounces,"She went on a fourteen day diet, but she only lost two weeks.",2,0.385061026,128.0054641,3
KAN_RHnonlit_11,1,27,2,nonjoke,"Once a week they hold a bingo game, and all the proceeds go to fight",gambling,disease,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",2,0.218214989,136.0074382,3
KAN_RHnonlit_11,1,60,2,joke,Another thing a small boy is constantly outgrowing is his,allowance,underwear,Another thing a small boy is constantly outgrowing is his allowance.,3,0.351647139,144.009356,4
KAN_RHnonlit_11,1,126,2,joke,My husband took the money we were saving to buy a new car and blew it all at the,laundry,tables,My husband took the money we were saving to buy a new car and blew it all at the laundry.,3,1.38956809,154.0033901,4
KAN_RHnonlit_11,1,130,2,joke,"This house comes with lots of extras, mostly",termites,upgrades,"This house comes with lots of extras, mostly termites.",3,0.669663191,168.015156,4
KAN_RHnonlit_11,1,124,2,joke,"I've got Parkinson's disease, and he's got", mine,gout,"I've got Parkinson's disease, and he's got mine.",3,0.384997129,176.0003691,4
KAN_RHnonlit_11,1,55,2,nonjoke,His wife sued for divorce and asked for custody of the,cash,cat,His wife sued for divorce and asked for custody of the cat.,2,0.285438061,184.002223,3
KAN_RHnonlit_11,1,33,2,nonjoke,Some people think courtship is the first in a series of steps leading to ,divorce,romance,Some people think courtship is the first in a series of steps leading to romance.,1,0.803412914,192.0042741,2
KAN_RHnonlit_11,1,48,2,joke,"The new tax forms are more realistic: where your wife signs, it says","""accomplice""","""partner""","The new tax forms are more realistic: where your wife signs, it says ""accomplice"".",2,0.08364892,200.0061562,3
KAN_RHnonlit_11,1,43,2,nonjoke,"I asked him if he started out as an editor, and he said that years ago he used to be a ",boy,journalist,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",2,0.451964855,216.0099912,3
KAN_RHnonlit_11,1,142,2,joke,She's happy because she finally has a boyfriend who gets along with her,fianc_,father,She's happy because she finally has a boyfriend who gets along with her fianc_.,,,224.0119622,1
KAN_RHnonlit_11,1,117,2,nonjoke,"All roads lead to Rome, and all detours lead to",profanity,somewhere,"All roads lead to Rome, and all detours lead to somewhere.",1,0.418565989,234.0059421,2
KAN_RHnonlit_11,1,99,2,nonjoke,"He's never given a girl a present, but he did give a few a pretty good",reputation,surprise,"He's never given a girl a present, but he did give a few a pretty good surprise.",1,0.518913031,254.010813,2
KAN_RHnonlit_11,1,18,2,joke,"When we watch a sexy movie, my wife leans over and breathes on my",glasses,collar,"When we watch a sexy movie, my wife leans over and breathes on my glasses.",3,0.719895124,264.0048051,4
KAN_RHnonlit_11,1,93,2,nonjoke,"He is probably the best boxer in the country, but he always loses in the ",city,competition,"He is probably the best boxer in the country, but he always loses in the competition.",1,0.418531895,280.0086741,2
KAN_RHnonlit_11,1,50,2,joke,The only time my father ever raised a hand to his children was in ,self- defense,discipline,The only time my father ever raised a hand to his children was in self- defense.,3,0.401764154,308.015413,4
KAN_RHnonlit_11,1,58,2,joke,The woman who has her husband eating out of her hand must save a lot of,dishwashing,heartbreak,The woman who has her husband eating out of her hand must save a lot of dishwashing.,3,0.418596983,318.0094531,4
KAN_RHnonlit_11,1,40,2,joke,No patient should leave the hospital until he's strong enough to face the,cashier,outside,No patient should leave the hospital until he's strong enough to face the cashier.,2,0.518898964,326.0114472,3
KAN_RHnonlit_11,1,65,2,nonjoke,A good way to blow your mind is to smoke ,gunpowder,heroin,A good way to blow your mind is to smoke heroin.,1,0.870416164,338.014364,2
KAN_RHnonlit_11,1,42,2,joke,The best way to keep the milk from turning sour is to keep it in the,cow,cold,The best way to keep the milk from turning sour is to keep it in the cow.,2,0.368356943,348.0083082,3
KAN_RHnonlit_11,1,155,2,nonjoke,The show had one act that was really offbeat: the,singer,clowns,The show had one act that was really offbeat: the clowns.,1,0.435271025,356.0103352,2
KAN_RHnonlit_11,1,104,2,joke,Politicians who are as American as apple pie still want their,slice,rewards,Politicians who are as American as apple pie still want their slice.,2,0.100432873,366.0043821,3
