subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_01,1,12,1,nonjoke,In some marriages the bride is given away by the ,press,family ,In some marriages the bride is given away by the family .,,,6.009151935577393
KAN_RHnonlit_01,1,35,1,joke,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their",nuptials,careers,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",3,0.3666200637817383,16.008157968521118
KAN_RHnonlit_01,1,99,1,joke,"He's never given a girl a present, but he did give a few a pretty good",reputation,surprise,"He's never given a girl a present, but he did give a few a pretty good reputation.",4,0.7999141216278076,24.007288932800293
KAN_RHnonlit_01,1,145,1,joke,The only person who sticks closer to you in adversity than a friend is a,creditor,spouse,The only person who sticks closer to you in adversity than a friend is a creditor.,,,34.0062780380249
KAN_RHnonlit_01,1,65,1,joke,A good way to blow your mind is to smoke ,gunpowder,heroin,A good way to blow your mind is to smoke gunpowder.,3,0.31650304794311523,44.00539493560791
KAN_RHnonlit_01,1,55,1,joke,His wife sued for divorce and asked for custody of the,cash,cat,His wife sued for divorce and asked for custody of the cash.,1,0.3499488830566406,54.00439214706421
KAN_RHnonlit_01,1,25,1,joke,The only thing money can't buy is,poverty,generosity,The only thing money can't buy is poverty.,,,64.00335311889648
KAN_RHnonlit_01,1,47,1,joke,"Charged with statutory rape, he told the judge he didn't know she was a ",statue,teenager,"Charged with statutory rape, he told the judge he didn't know she was a statue.",3,0.8832030296325684,72.00254511833191
KAN_RHnonlit_01,1,17,1,joke,A committee keeps minutes and takes,hours,votes,A committee keeps minutes and takes hours.,2,0.3832430839538574,94.00037097930908
KAN_RHnonlit_01,1,112,1,nonjoke,The art museum just acquired an early Rembrandt; it's done in ,Crayola,charcoal,The art museum just acquired an early Rembrandt; it's done in charcoal.,1,0.6666731834411621,104.01600098609924
KAN_RHnonlit_01,1,50,1,nonjoke,The only time my father ever raised a hand to his children was in ,self- defense,discipline,The only time my father ever raised a hand to his children was in discipline.,1,0.9498720169067383,114.01504707336426
KAN_RHnonlit_01,1,133,1,joke,He likes to make things around the house; this week it's the,maid,shelves,He likes to make things around the house; this week it's the maid.,2,0.8331689834594727,122.01426315307617
KAN_RHnonlit_01,1,60,1,nonjoke,Another thing a small boy is constantly outgrowing is his,allowance,underwear,Another thing a small boy is constantly outgrowing is his underwear.,2,1.86643385887146,142.01228213310242
KAN_RHnonlit_01,1,14,1,nonjoke,He got a medal for bravery on the beach when he rescued a girl from a ,lifeguard,shipwreck,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,1,1.1332550048828125,156.0108380317688
KAN_RHnonlit_01,1,2,1,nonjoke,"She went on a fourteen day diet, but she only lost two",weeks,ounces,"She went on a fourteen day diet, but she only lost two ounces.",1,1.6330900192260742,168.00972604751587
KAN_RHnonlit_01,1,155,1,joke,The show had one act that was really offbeat: the,singer,clowns,The show had one act that was really offbeat: the singer.,2,1.5498239994049072,180.00844812393188
KAN_RHnonlit_01,1,136,1,nonjoke,The only fishing through the ice that some men ever do is for the ,olive,trout,The only fishing through the ice that some men ever do is for the trout.,1,1.0665678977966309,190.00749707221985
KAN_RHnonlit_01,1,67,1,joke,The most prevalent form of legalized gambling is,elections,betting,The most prevalent form of legalized gambling is elections.,3,0.9998550415039062,198.0067069530487
KAN_RHnonlit_01,1,4,1,nonjoke,I knew a streetwalker who was so exclusive she had an unlisted telephone,booth,line,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,4,1.4832639694213867,206.0058310031891
KAN_RHnonlit_01,1,19,1,joke,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my",umbrella,pay,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",4,0.7165420055389404,218.004714012146
KAN_RHnonlit_01,1,23,1,joke,The curse of heavy drinking is that afterwards you get a huge,bar tab,headache,The curse of heavy drinking is that afterwards you get a huge bar tab.,1,1.283195972442627,232.00330710411072
KAN_RHnonlit_01,1,45,1,joke,"She is so modest, she pulls down the shade to change her", mind,jacket,"She is so modest, she pulls down the shade to change her mind.",4,0.5498058795928955,240.00257515907288
KAN_RHnonlit_01,1,64,1,nonjoke,The best way to stop an elephant from charging is to cut off its,credit,toes,The best way to stop an elephant from charging is to cut off its toes.,2,0.3832740783691406,248.00177097320557
KAN_RHnonlit_01,1,15,1,joke,"When John bought a bulldog, it was no time at all before he had that dog eating out of his",leg,fingers,"When John bought a bulldog, it was no time at all before he had that dog eating out of his leg.",,,256.00088906288147
KAN_RHnonlit_01,1,63,1,joke,"It's hard to raise a family nowadays, especially in the ",morning,country,"It's hard to raise a family nowadays, especially in the morning.",3,0.34986305236816406,276.0156500339508
KAN_RHnonlit_01,1,127,1,joke,The penalty for dishonesty is the disgrace of dying,rich,unloved,The penalty for dishonesty is the disgrace of dying rich.,1,1.49983811378479,284.01479601860046
