subject,joke,contrast,joke-contrast,MROI 7,MROI 9,MROI 13,MROI 15,average L_MD
KAN_RHnonlit_01,2.533333,1.333333,1.2,0.239518,0.225031,0.293547,0.222923,0.24525475
KAN_RHnonlit_02,2.434211,1.328767,1.105444,0.061534,-0.091311,0.031563,-0.021575,-0.00494725
KAN_RHnonlit_03,2.736842,1.492958,1.243884,0.258122,0.089494,0.205158,0.164657,0.17935775
KAN_RHnonlit_04,1.804348,1.09434,0.710008,0.082053,0.214104,-0.03915,-0.018666,0.05958525
KAN_RHnonlit_05,2.186047,1.479167,0.70688,0.235914,0.176887,0.239259,0.013074,0.1662835
KAN_RHnonlit_06,1.76,1.173077,0.586923,0.117135,0.127092,0.250449,0.222568,0.179311
KAN_RHnonlit_07,1.488889,1.093023,0.395866,0.034814,-0.152484,0.047167,0.015981,-0.0136305
KAN_RHnonlit_08,2.166667,1.208333,0.958334,0.005602,0.223428,0.182506,0.180093,0.14790725
KAN_RHnonlit_09,2.734694,1.431373,1.303321,0.073834,0.108339,0.108546,0.093567,0.0960715
KAN_RHnonlit_10,2.673913,1.543478,1.130435,0.058082,0.273765,0.315198,0.119158,0.19155075
KAN_RHnonlit_11,2.102041,1.326531,0.77551,-0.054179,-0.148786,-0.19191,-0.069178,-0.11601325
KAN_RHnonlit_12,2.625,1.14,1.485,0.154775,0.315913,0.135378,0.259844,0.2164775
