Contrast name:,Group (lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.865272,0.194687,4.444421,11.000000,0.000494,0.001323
2,1399,50,1.000000,0.745980,0.219457,3.399209,11.000000,0.002969,0.004453
3,4863,50,1.000000,0.531710,0.193688,2.745190,11.000000,0.009527,0.012249
4,5104,50,1.000000,0.497622,0.127943,3.889396,11.000000,0.001261,0.002522
5,888,50,1.000000,0.407427,0.293865,1.386441,11.000000,0.096535,0.108602
6,1015,50,1.000000,0.349934,0.121699,2.875413,11.000000,0.007547,0.010450
7,3526,50,1.000000,1.123268,0.254158,4.419559,11.000000,0.000515,0.001323
8,3381,50,1.000000,0.611175,0.127365,4.798596,11.000000,0.000277,0.000998
9,1858,50,1.000000,0.542810,0.111838,4.853531,11.000000,0.000254,0.000998
10,1770,50,1.000000,0.608876,0.117638,5.175842,11.000000,0.000153,0.000917
11,2147,50,1.000000,1.391497,0.221296,6.287957,11.000000,0.000030,0.000267
12,2371,50,1.000000,1.038765,0.119381,8.701237,11.000000,0.000001,0.000026
13,2447,50,1.000000,0.324638,0.094232,3.445113,11.000000,0.002738,0.004453
14,1345,50,1.000000,-0.070252,0.135692,-0.517732,11.000000,0.692551,0.692551
15,2065,50,1.000000,0.630460,0.159017,3.964724,11.000000,0.001108,0.002493
16,2222,50,1.000000,0.228486,0.185718,1.230283,11.000000,0.122126,0.129310
17,1615,50,1.000000,0.366690,0.169423,2.164344,11.000000,0.026650,0.031980
18,1958,50,1.000000,0.449508,0.127284,3.531524,11.000000,0.002351,0.004232
