Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.108213,0.065689,1.647350,11.000000,0.063863,0.150628
2,1399,50,1.000000,-0.056369,0.065585,-0.859490,11.000000,0.795795,0.810415
3,4863,50,1.000000,0.108377,0.148183,0.731371,11.000000,0.239922,0.332199
4,5104,50,1.000000,0.060712,0.101071,0.600691,11.000000,0.280109,0.352123
5,888,50,1.000000,0.108449,0.144052,0.752846,11.000000,0.233674,0.332199
6,1015,50,1.000000,-0.052583,0.057388,-0.916282,11.000000,0.810415,0.810415
7,3526,50,1.000000,0.143660,0.055386,2.593774,11.000000,0.012485,0.087367
8,3381,50,1.000000,0.033711,0.060227,0.559742,11.000000,0.293436,0.352123
9,1858,50,1.000000,0.099035,0.048837,2.027885,11.000000,0.033748,0.125902
10,1770,50,1.000000,-0.038300,0.061427,-0.623503,11.000000,0.727167,0.810415
11,2147,50,1.000000,0.152957,0.094518,1.618284,11.000000,0.066946,0.150628
12,2371,50,1.000000,0.033914,0.043770,0.774827,11.000000,0.227388,0.332199
13,2447,50,1.000000,0.100924,0.051469,1.960891,11.000000,0.037850,0.125902
14,1345,50,1.000000,0.204896,0.081717,2.507372,11.000000,0.014561,0.087367
15,2065,50,1.000000,0.080461,0.031698,2.538378,11.000000,0.013780,0.087367
16,2222,50,1.000000,0.060327,0.062360,0.967403,11.000000,0.177066,0.318718
17,1615,50,1.000000,0.156664,0.082450,1.900113,11.000000,0.041967,0.125902
18,1958,50,1.000000,0.087767,0.062843,1.396603,11.000000,0.095037,0.190073
