subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_02,3,32,1,nonjoke,"Though most people think it's Rome, the world's most beloved capital is actually",dollars,Vienna,"Though most people think it's Rome, the world's most beloved capital is actually Vienna.",,,6.009898900985718
KAN_RHnonlit_02,3,152,1,nonjoke,"Many things run in families, especially",noses,strength,"Many things run in families, especially strength.",2,1.76652193069458,16.008882999420166
KAN_RHnonlit_02,3,13,1,joke,A device for finding furniture in the dark is a ,shin,candle,A device for finding furniture in the dark is a shin.,4,0.61649489402771,24.00811505317688
KAN_RHnonlit_02,3,52,1,nonjoke,My wife did natural childbirth: no,makeup,anesthetic,My wife did natural childbirth: no anesthetic.,1,1.1165809631347656,34.00704312324524
KAN_RHnonlit_02,3,155,1,joke,The show had one act that was really offbeat: the,singer,clowns,The show had one act that was really offbeat: the singer.,3,0.6831881999969482,44.00610589981079
KAN_RHnonlit_02,3,90,1,nonjoke,A vacation is the shortest distance between two,paychecks,locations,A vacation is the shortest distance between two locations.,2,1.8831679821014404,54.00505304336548
KAN_RHnonlit_02,3,65,1,joke,A good way to blow your mind is to smoke ,gunpowder,heroin,A good way to blow your mind is to smoke gunpowder.,2,0.5666100978851318,64.00403690338135
KAN_RHnonlit_02,3,126,1,nonjoke,My husband took the money we were saving to buy a new car and blew it all at the,laundry,tables,My husband took the money we were saving to buy a new car and blew it all at the tables.,1,0.749953031539917,72.00330901145935
KAN_RHnonlit_02,3,127,1,joke,The penalty for dishonesty is the disgrace of dying,rich,unloved,The penalty for dishonesty is the disgrace of dying rich.,2,1.3499319553375244,94.00104308128357
KAN_RHnonlit_02,3,105,1,joke,The book that tells you where you can go on vacation is called a,checkbook,guidebook,The book that tells you where you can go on vacation is called a checkbook.,4,0.5000278949737549,104.00005412101746
KAN_RHnonlit_02,3,93,1,joke,"He is probably the best boxer in the country, but he always loses in the ",city,competition,"He is probably the best boxer in the country, but he always loses in the city.",3,0.466519832611084,114.01581907272339
KAN_RHnonlit_02,3,140,1,nonjoke,You can keep your kids in hot water with ,dishes,rules,You can keep your kids in hot water with rules.,2,0.4166710376739502,122.01494097709656
KAN_RHnonlit_02,3,117,1,joke,"All roads lead to Rome, and all detours lead to",profanity,somewhere,"All roads lead to Rome, and all detours lead to profanity.",2,1.7164390087127686,142.0129849910736
KAN_RHnonlit_02,3,86,1,nonjoke,"I asked the florist what I should give to my girlfriend, and he suggested his",address,tulips,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",,,156.0115430355072
KAN_RHnonlit_02,3,94,1,nonjoke,"To get something done, a committee should consist of no more than three people, two of whom are",dead,workers,"To get something done, a committee should consist of no more than three people, two of whom are workers.",2,1.4331040382385254,168.0104410648346
KAN_RHnonlit_02,3,137,1,joke,A man who has lost ninety percent of his brain is called a,widower,zombie,A man who has lost ninety percent of his brain is called a widower.,1,0.3500359058380127,180.0091691017151
KAN_RHnonlit_02,3,33,1,joke,Some people think courtship is the first in a series of steps leading to ,divorce,romance,Some people think courtship is the first in a series of steps leading to divorce.,3,0.4332730770111084,190.00817894935608
KAN_RHnonlit_02,3,83,1,joke,Nothing ages a woman faster than,identification,hardship,Nothing ages a woman faster than identification.,1,0.9832239151000977,198.00743412971497
KAN_RHnonlit_02,3,79,1,joke,She puts something behind her ears to attract men; lately she's been using her,ankles,vanilla,She puts something behind her ears to attract men; lately she's been using her ankles.,3,0.566565990447998,206.00665092468262
KAN_RHnonlit_02,3,116,1,nonjoke,Autobiography is an unrivaled vehicle for telling the truth about,others,somebody,Autobiography is an unrivaled vehicle for telling the truth about somebody.,3,1.1164958477020264,218.00545811653137
