subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_04,1,75,1,joke,"When reviewing your notes for a test, the most important ones will be",illegible,capitalized,"When reviewing your notes for a test, the most important ones will be illegible.",,,6.002212047576904
KAN_RHnonlit_04,1,138,1,nonjoke,Modern science is amazing: garbage is now being made into,movies,gasoline,Modern science is amazing: garbage is now being made into gasoline.,1,1.1596150398254395,16.011346101760864
KAN_RHnonlit_04,1,46,1,nonjoke,Arguments between couples are healthy; sometimes they even prevent,marriage,breakups,Arguments between couples are healthy; sometimes they even prevent breakups.,1,0.453125,24.00804901123047
KAN_RHnonlit_04,1,119,1,joke,"He told me he's not broke, just badly",bent,off,"He told me he's not broke, just badly bent.",1,0.4798920154571533,34.00386714935303
KAN_RHnonlit_04,1,26,1,nonjoke,"To clothe one soldier, it takes the wool from two sheep and the hides from three",taxpayers,animals,"To clothe one soldier, it takes the wool from two sheep and the hides from three animals.",2,1.8657948970794678,44.013137102127075
KAN_RHnonlit_04,1,91,1,joke,"If there's one thing that counts in business, its",bookkeepers,resources,"If there's one thing that counts in business, its bookkeepers.",1,0.4131321907043457,54.00896501541138
KAN_RHnonlit_04,1,81,1,joke,Another thing that has developed by leaps and bounds is modern,dance,science,Another thing that has developed by leaps and bounds is modern dance.,2,0.58638596534729,64.00478720664978
KAN_RHnonlit_04,1,107,1,joke,The difference between a good speaker and a bad one is often a nice,nap,diction,The difference between a good speaker and a bad one is often a nice nap.,2,0.3198239803314209,72.00148606300354
KAN_RHnonlit_04,1,2,1,nonjoke,"She went on a fourteen day diet, but she only lost two",weeks,ounces,"She went on a fourteen day diet, but she only lost two ounces.",1,0.49310302734375,94.00565814971924
KAN_RHnonlit_04,1,108,1,nonjoke,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little,water,platform,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,1,0.5863461494445801,104.00157904624939
KAN_RHnonlit_04,1,54,1,nonjoke,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little,finding,sightseeing,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little sightseeing.,1,0.5731258392333984,114.01072716712952
KAN_RHnonlit_04,1,83,1,joke,Nothing ages a woman faster than,identification,hardship,Nothing ages a woman faster than identification.,1,0.5464649200439453,122.0073561668396
KAN_RHnonlit_04,1,76,1,nonjoke,"Parents support clubs for teenagers, especially when they lack other forms of",punishment,diversion,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",1,0.42655301094055176,142.01235508918762
