Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.895230,0.159001,5.630344,11.000000,0.000077,0.000276
2,1399,139,1.000000,0.641827,0.166020,3.865965,11.000000,0.001313,0.002149
3,4863,486,1.000000,0.551015,0.117740,4.679918,11.000000,0.000336,0.000801
4,5104,510,1.000000,0.332127,0.135801,2.445694,11.000000,0.016246,0.020888
5,888,88,1.000000,0.422407,0.181173,2.331508,11.000000,0.019882,0.023858
6,1015,101,1.000000,0.276331,0.083638,3.303887,11.000000,0.003515,0.005272
7,3526,352,1.000000,1.127934,0.192819,5.849721,11.000000,0.000055,0.000250
8,3381,338,1.000000,0.504446,0.127684,3.950737,11.000000,0.001135,0.002043
9,1858,185,1.000000,0.587632,0.095229,6.170746,11.000000,0.000035,0.000210
10,1770,177,1.000000,0.418739,0.090165,4.644167,11.000000,0.000356,0.000801
11,2147,214,1.000000,1.318524,0.178708,7.378094,11.000000,0.000007,0.000063
12,2371,237,1.000000,0.913254,0.108708,8.400968,11.000000,0.000002,0.000037
13,2447,244,1.000000,0.463451,0.106415,4.355121,11.000000,0.000573,0.001146
14,1345,134,1.000000,0.135256,0.123545,1.094797,11.000000,0.148499,0.148499
15,2065,206,1.000000,0.645877,0.125815,5.133564,11.000000,0.000163,0.000490
16,2222,222,1.000000,0.317797,0.146022,2.176363,11.000000,0.026098,0.029360
17,1615,161,1.000000,0.331421,0.195775,1.692872,11.000000,0.059288,0.062775
18,1958,195,1.000000,0.408613,0.142640,2.864641,11.000000,0.007694,0.010653
